timestamp(ms),pitch(¡Æ),roll(¡Æ),yaw(¡Æ),flex1,flex2,flex3,flex4,flex5
24636,-0.85,-0.06,0.12,812.7267436403615,825.8883103389908,828.0819047887624,846.7274576118207,870.8569965593078
24656,-0.85,0.0,0.12,799.6304018591043,814.7995422737757,811.5490121849176,833.2192127773052,848.3883531919765
24676,-0.85,0.0,0.12,835.0303234270003,848.4985544500165,850.7432596205192,868.7009009845407,884.4138371780596
24696,-0.85,-0.06,0.12,746.3746206347312,758.4129209675494,758.4129209675494,772.4576046891708,789.5118634939967
24716,-0.85,-0.06,0.18,785.2337311483708,801.1506311040808,803.2728844315089,821.3120377146471,827.6787976969313
24736,-0.85,-0.06,0.06,834.5107109547338,843.4718997972008,861.3942774821347,863.6345746927514,898.3591814573107
24756,-0.85,-0.06,0.0,736.5342233442022,742.458091092279,750.3565814230479,763.1916282105475,776.0266749980469
24776,-0.85,-0.12,0.18,813.1876783561436,829.6935175649962,831.8942961261766,849.5005246156195,861.6048067021114
24796,-0.85,0.0,0.18,850.6334949778175,863.2100654680808,859.780091698009,879.2166097284161,902.083101528895
24816,-0.85,-0.06,0.06,829.0839357033188,844.7270288297966,846.9617564192935,864.839577135268,880.4826702617456
24836,-0.85,-0.06,0.12,830.7846811090895,844.1664477846721,846.3967422306026,860.8936561291505,874.2754228047331
24856,-0.85,0.0,0.12,976.447908939916,996.2944111541419,994.9713110065269,1018.787113663598,1038.633615877824
24876,-0.98,-0.06,0.12,826.9538794413814,832.5039054779008,835.8339210998124,851.3739940020665,864.694056489713
24896,-1.34,0.06,0.0,840.3527709357921,847.1572468138147,850.5594847528259,878.9114675779202,894.788577959973
24916,-0.92,-0.12,-0.24,792.6309318707816,800.0784708279567,803.2702732381747,821.3571535627428,840.5079680240503
24936,-0.85,-0.12,0.24,820.540437982327,833.7927734544509,830.4796895864198,853.6712766626364,865.8192508454165
24956,-0.85,0.12,0.12,915.2360697831724,927.5541864693524,928.7859981379704,954.6540431789483,968.2039715337463
24976,-0.85,0.0,0.18,872.9775583969513,882.3644138635851,881.1910569302559,915.2184079968038,921.0851926634499
24996,-0.85,-0.06,-0.06,857.8594271983766,868.2507257781685,871.7144919714325,906.3521539040722,912.1250975595123
25016,-0.79,-0.12,0.12,779.5551831689693,790.0471775588611,795.2931747538071,809.9819668996557,824.6707590455044
25036,-0.79,0.0,0.12,865.2877201867918,883.9462155007927,883.9462155007927,902.6047108147936,916.5985823002943
25056,-0.79,0.0,0.12,883.3216308581124,891.6660997056249,898.8185015749214,914.3153722917303,935.7725778996197
25076,-0.85,-0.06,0.12,836.4739693300946,845.5291679155354,850.0567672082558,865.9033647327772,887.4094613731992
25096,-0.85,-0.06,0.06,781.9422384115256,788.2737545120237,795.6605232959383,812.5445662306003,830.4838618486784
25116,-0.85,-0.06,0.12,767.1193203976352,775.4013103614423,784.7185490707253,803.3530264892913,812.6702651985744
25136,-0.85,0.0,0.12,750.0825765792098,757.1588273016552,763.2241850637512,783.4420442707379,792.5400809138821
25156,-0.85,0.0,0.12,728.5861107242375,739.3437579966759,742.2776617982499,757.9251487399786,768.682796012417
25176,-0.85,0.0,0.12,854.7035567349718,865.1126663569133,872.052072771541,896.3399952227377,910.218808051993
25196,-0.85,-0.06,0.06,779.4105085101061,787.8025462867963,793.0475698972277,811.9296548947807,822.4197021156435
25216,-0.85,-0.06,0.18,674.800950406484,679.3542631622634,688.4608886738218,706.6741396969388,708.4954647992505
25236,-0.85,0.0,0.18,742.4712584567146,758.481420364137,757.4807852449231,776.4928525099872,785.4985685829123
25256,-0.85,0.0,0.06,783.2504204224848,795.8834917196217,794.8307357781937,812.7275867824708,823.2551461967515
25276,-0.85,-0.06,0.12,728.0770286510328,739.8518593030713,739.8518593030713,759.4765770564683,766.3452282701573
25296,-0.85,-0.06,0.06,844.6056346777334,861.656892443771,855.9731398550917,880.9816512452804,893.4859069403747
25316,-0.85,-0.06,0.18,862.8099806849738,863.9681148872354,870.9169201008058,889.4470673369932,910.2934829777038
25336,-0.79,0.0,0.12,807.2447543847459,821.3498374586729,815.9248055071625,841.9649588744123,848.4749972162248
25356,-0.85,0.0,0.06,776.5636477703739,783.8700261768157,792.2201729270347,802.6578563648086,817.270613177692
25376,-0.79,-0.06,0.12,745.7611037579742,759.8320679798227,756.8168613608551,774.9081010746604,786.9689275505307
25396,-0.79,0.0,0.12,849.5184816422694,864.3422940736109,860.921414281763,880.306399768902,897.4107987281423
25416,-0.79,-0.06,0.12,683.5394870107776,697.3390728858269,689.9792937524674,711.1386587608763,724.0182722442557
25436,-0.85,0.0,0.12,755.7236249332377,763.8496854163907,764.8654429767848,783.1490790638793,798.3854424697914
25456,-0.85,-0.12,0.12,743.12565565668,747.1209548806406,757.1092029405422,772.0915750303947,786.0751223142569
25476,-0.85,-0.06,0.06,929.65076725497,939.6604659602724,940.9116782984353,968.4383497380171,983.4528977959709
25496,-0.85,-0.06,0.12,947.2440553298444,951.0635878110131,961.2490077607964,981.619847660363,999.4443325724836
25516,-0.85,0.0,0.18,844.0862704892573,855.4010998523842,856.5325827886968,867.8474121518236,888.2141050054518
25536,-0.85,-0.06,0.06,658.4796883776504,670.0475747950956,668.2678999616425,687.8443231296267,697.6325347136187
25556,-0.85,-0.06,0.12,773.1779025538171,778.3739906086142,784.6092962743709,801.2367780497218,815.7858246031537
25576,-0.85,-0.06,0.06,932.0681364822775,943.4041003043593,948.4423064475068,991.2670586642602,984.9693009853257
25596,-0.79,-0.06,0.12,812.2210766209297,830.8048697603049,827.5253768533564,841.7365127834668,858.1339773182096
25616,-0.85,0.0,0.12,824.178166753871,839.7496840744568,839.7496840744568,860.8824575809664,870.8927187156288
25636,-0.85,-0.06,0.0,804.8489461772818,816.7326218926511,819.9736243604792,828.6162976080204,848.0623124149884
25656,-0.79,-0.06,0.12,843.2086820523378,855.7768331398389,861.4896290887029,879.770576125068,899.1940823512059
25676,-0.79,0.0,0.18,887.04336766002,894.2259050499796,906.1968006999124,919.3647859148385,939.7153085197242
