timestamp(ms),pitch(¡Æ),roll(¡Æ),yaw(¡Æ),flex1,flex2,flex3,flex4,flex5
24636,-0.85,-0.06,0.12,959.7374839983032,975.2797914314741,977.8701760036693,999.8884448673281,1028.3826751614747
24656,-0.85,0.0,0.12,955.9362709071062,974.0705633091382,970.1846435087026,996.0907755116053,1014.2250679136371
24676,-0.85,0.0,0.12,1051.576805222611,1068.537721435879,1071.3645408047569,1093.9790957557807,1113.7668313379268
24696,-0.85,-0.06,0.12,964.3369517732554,979.8907735760498,979.8907735760498,998.0368990126432,1020.0714798999354
24716,-0.85,-0.06,0.18,1123.4883668439222,1146.2617796853533,1149.2982347308773,1175.1081026178322,1184.2174677544047
24736,-0.85,-0.06,0.06,868.6474807915354,877.9752389745316,896.6307553405244,898.9626948862733,935.1077578453843
24756,-0.85,-0.06,0.0,1108.5875462127653,1117.5037999356564,1129.392138232844,1148.7106879657742,1168.0292376987045
24776,-0.85,-0.12,0.18,866.9838112783457,884.5815882325747,886.9279584931385,905.6989205776493,918.6039570107506
24796,-0.85,0.0,0.18,1064.188830972783,1079.9228056242625,1075.6317216284044,1099.9478642715999,1128.5550909106532
24816,-0.85,-0.06,0.06,1155.255983858052,1177.053266572355,1180.1671641029695,1205.0783443478872,1226.8756270621902
24836,-0.85,-0.06,0.12,1029.4067213358642,1045.9877691963077,1048.7512771730483,1066.714079021862,1083.2951268823053
24856,-0.85,0.0,0.12,1137.4945833323914,1160.6143919367082,1159.073071363087,1186.8168416882672,1209.936650292584
24876,-0.98,-0.06,0.12,1063.5313778066873,1070.6691722886114,1074.9518489777658,1094.9376735271533,1112.0683802837711
24896,-1.34,0.06,0.0,1068.4072014930161,1077.0582719504496,1081.3838071791663,1117.4299340851385,1137.615765152483
24916,-0.92,-0.12,-0.24,863.2007162432955,871.311326999944,874.7873030385075,894.4845005903679,915.3403568217497
24936,-0.85,-0.12,0.24,838.3670392130012,851.9072874910041,848.5222254215034,872.2176599080082,884.629554162844
24956,-0.85,0.12,0.12,1057.0648707833777,1071.2918542394125,1072.714552585016,1102.5912178426888,1118.240899644327
24976,-0.85,0.0,0.18,1071.5224409026641,1083.0441875790368,1081.6039692444901,1123.3703009463413,1130.5713926190742
24996,-0.85,-0.06,-0.06,896.4536516794035,907.312444230029,910.932041746904,947.1280169156553,953.1606794437803
25016,-0.79,-0.12,0.12,1025.0703477934412,1038.8667185578213,1045.7649039400114,1065.0798230101434,1084.3947420802756
25036,-0.79,0.0,0.12,902.7295468738763,922.1954131137444,922.1954131137444,941.6612793536123,956.2606790335133
25056,-0.79,0.0,0.12,1056.301295636364,1066.2798503859653,1074.8328973141952,1093.364498992026,1119.023639776715
25076,-0.85,-0.06,0.12,1013.382440021203,1024.3527506033,1029.8379058943483,1049.0359494130178,1075.090437045498
25096,-0.85,-0.06,0.06,1092.3493469826801,1101.1942809663456,1111.5133706139552,1135.099861237063,1160.160507524115
25116,-0.85,-0.06,0.12,946.168512867886,956.3835575412236,967.8754827987283,990.8593333137376,1002.3512585712424
25136,-0.85,0.0,0.12,872.8485375392936,881.0829577047585,888.1410321323001,911.6679468907715,922.2550585320837
25156,-0.85,0.0,0.12,1237.7562774446258,1256.0318734874324,1261.0161269536525,1287.5988121068256,1305.8744081496322
25176,-0.85,0.0,0.12,880.8099789263141,891.5370287373247,898.6883952779984,923.7181781703565,938.020911251704
25196,-0.85,-0.06,0.06,981.105179192673,991.6688957923249,998.2712186671074,1022.0395810163243,1035.244226765889
25216,-0.85,-0.06,0.18,1120.783546933823,1128.3461889509201,1143.4714729851148,1173.7220410535042,1176.7470978603428
25236,-0.85,0.0,0.18,1161.5967415789764,1186.644649753186,1185.079155492298,1214.823546449172,1228.912994797165
25256,-0.85,0.0,0.06,1023.5919671297837,1040.1015149867158,1038.7257193319715,1062.114245462625,1075.8722020100683
25276,-0.85,-0.06,0.12,1104.2915042591294,1122.1506660530777,1122.1506660530777,1151.915935709658,1162.333780089461
25296,-0.85,-0.06,0.06,1070.554342921606,1092.1671493062952,1084.9628805113987,1116.6616632089429,1132.511054557715
25316,-0.85,-0.06,0.18,1213.986367705013,1215.6158796079728,1225.3929510257312,1251.4651414730872,1280.7963557263627
25336,-0.79,0.0,0.12,981.541125966702,998.6917101569805,992.095331622258,1023.7579485889258,1031.6736028305927
25356,-0.85,0.0,0.06,903.6428580474806,912.1448741850239,921.8614640565023,934.0072013958502,951.0112336709371
25376,-0.79,-0.06,0.12,972.2121605249331,990.5557861952149,986.6250092658688,1010.2096708419454,1025.9327785593298
25396,-0.79,0.0,0.12,1041.173080689738,1059.3412015608344,1055.148558282889,1078.9068701912454,1099.8700865809717
25416,-0.79,-0.06,0.12,1129.4849529287546,1152.2874755316232,1140.1261301434267,1175.089998134492,1196.3723525638356
25436,-0.85,0.0,0.12,951.8559114104077,962.0909212105196,963.3702974355335,986.3990694857854,1005.5897128609952
25456,-0.85,-0.12,0.12,986.3744472339222,991.6775356599112,1004.9352567248832,1024.8218383223411,1043.3826478133021
25476,-0.85,-0.06,0.06,1064.091257455478,1075.548498450961,1076.9806535753964,1108.4880663129745,1125.673927806199
25496,-0.85,-0.06,0.12,953.4365016689904,957.2810036918493,967.5330090861395,988.0370198747199,1005.9780293147278
25516,-0.85,0.0,0.18,908.4067293215319,920.5837632266463,921.8014666171578,933.978500522272,955.8971615514779
25536,-0.85,-0.06,0.06,1001.185897196837,1018.7742980935383,1016.0683902632766,1045.8333763961555,1060.715869462595
25556,-0.85,-0.06,0.12,1144.4034420094454,1152.0943253562832,1161.3233853724882,1185.9342120823687,1207.4686854535144
25576,-0.85,-0.06,0.06,1048.8743608203722,1061.6309408844038,1067.3005320239733,1115.4920567103147,1108.405067785853
25596,-0.79,-0.06,0.12,979.6860395259873,1002.1014670790719,998.1458033932335,1015.2870126985334,1035.0653311277256
25616,-0.85,0.0,0.12,1116.2152568986864,1137.3043440735605,1137.3043440735605,1165.9252480966036,1179.4825184233082
25636,-0.85,-0.06,0.0,1170.956931905618,1188.2462288867748,1192.9614916998173,1205.5355258679315,1233.827102746188
25656,-0.79,-0.06,0.12,1222.8043042994236,1241.0303847158107,1249.3149667232594,1275.825629147095,1303.9932079724206
25676,-0.79,0.0,0.18,977.3185264679182,985.2320368036908,998.4212206966452,1012.9293229788949,1035.3509355969172
25696,-0.79,0.0,0.12,993.9278716546679,1012.7319124697561,1016.7613497872751,1040.9379736923888,1058.3988687349708
