timestamp(ms),pitch(¡Æ),roll(¡Æ),yaw(¡Æ),flex1,flex2,flex3,flex4,flex5
24636,-0.85,-0.06,0.12,854.1808796574816,868.013768396874,870.3192498534394,889.9158422342452,915.2761382564647
24656,-0.85,0.0,0.12,840.7195313580493,856.6681403540014,853.2505812834402,876.0343084205148,891.9829174164669
24676,-0.85,0.0,0.12,746.3857276830516,758.4242071618106,760.4306204082704,776.481926379949,790.5268191051676
24696,-0.85,-0.06,0.12,651.7497381515093,662.2618307023401,662.2618307023401,674.5259386783093,689.4180697919863
24716,-0.85,-0.06,0.18,749.4184870950181,764.6094023739712,766.6348577444983,783.8512283939784,789.9275945055597
24736,-0.85,-0.06,0.06,806.0823110857954,814.7382285202738,832.0500633892304,834.21404274785,867.7557228064536
24756,-0.85,-0.06,0.0,703.7601079911809,709.4203769562574,716.9674022430262,729.2313183340253,741.4952344250245
24776,-0.85,-0.12,0.18,613.4678066384679,625.9197918882338,627.5800565882026,640.862174187953,649.9936300377813
24796,-0.85,0.0,0.18,927.9776323095292,941.697731711955,937.9558864203843,959.1596764059515,984.1053116830894
24816,-0.85,-0.06,0.06,777.8423120873185,792.518582126702,794.6151921323282,811.3880721773377,826.0643422167211
24836,-0.85,-0.06,0.12,993.7715102919022,1009.7785681757987,1012.446411156448,1029.7873905306692,1045.7944484145655
24856,-0.85,0.0,0.12,742.5910004507392,757.6843134680306,756.6780926002111,774.790068220961,789.8833812382524
24876,-0.98,-0.06,0.12,765.3368204670198,770.4733091949864,773.5552024317664,787.9373708700728,800.2649438171926
24896,-1.34,0.06,0.0,672.1725266817604,677.6152192054992,680.3365654673687,703.0144509829477,715.7140668716719
24916,-0.92,-0.12,-0.24,686.3920765280042,692.8413980524284,695.6053929914674,711.2680309793546,727.8520006135883
24936,-0.85,-0.12,0.24,627.3801685717982,637.5128227075473,634.97965917361,652.7118039111709,662.0000702022743
24956,-0.85,0.12,0.12,628.1795457373182,636.634182961239,637.4796466836311,655.234384853865,664.5344858001779
24976,-0.85,0.0,0.18,687.0218648526861,694.4091967328225,693.4857802478055,720.2648583132999,724.8819407383852
24996,-0.85,-0.06,-0.06,696.8897912762254,705.3312557735148,708.1450772726113,736.283292263576,740.97299476207
25016,-0.79,-0.12,0.12,733.0711851936804,742.9375537696384,747.8707380576174,761.6836540639587,775.4965700702999
