timestamp(ms),pitch(¡Æ),roll(¡Æ),yaw(¡Æ),flex1,flex2,flex3,flex4,flex5
24636,-0.85,-0.06,0.12,800.8365672023905,813.8055804364373,815.9670826421118,834.3398513903448,858.116375652764
24656,-0.85,0.0,0.12,912.2590888511023,929.5648168238876,925.856446544005,950.5789150765552,967.8846430493404
24676,-0.85,0.0,0.12,989.631150641679,1005.5929433939641,1008.2532421860117,1029.5356325223918,1048.1577240667245
24696,-0.85,-0.06,0.12,893.1977721250978,907.6041878045347,907.6041878045347,924.411672763878,944.8207616430806
24716,-0.85,-0.06,0.18,935.8986673965123,954.8695863302255,957.399042188054,978.8994169795955,986.4877845530807
24736,-0.85,-0.06,0.06,880.2663251255694,889.7188494222198,908.6238980155207,910.9870290896833,947.6155607392037
24756,-0.85,-0.06,0.0,1092.0167515015326,1100.7997280551642,1112.5103634600064,1131.5401459928748,1150.5699285257435
24776,-0.85,-0.12,0.18,814.6634594058726,831.1992535751392,833.4040261310415,851.0422065782593,863.1684556357214
24796,-0.85,0.0,0.18,882.3843840560738,895.4303897343221,891.8723881857089,912.0343969611837,935.7544072852718
24816,-0.85,-0.06,0.06,1028.1981784959912,1047.598144127991,1050.3695677897053,1072.5409570834192,1091.9409227154192
24836,-0.85,-0.06,0.12,805.8923932276633,818.8732102997868,821.0366798118073,835.099231639941,848.0800487120644
24856,-0.85,0.0,0.12,1019.005300929986,1039.7167907862865,1038.3360247958665,1063.189812623427,1083.9013024797275
24876,-0.98,-0.06,0.12,710.9110221312134,715.6822370448457,718.5449659930251,731.9043677511957,743.3552835439132
24896,-1.34,0.06,0.0,885.6527794829999,892.8240570496639,896.4096958329958,926.290019027429,943.0230000163116
24916,-0.92,-0.12,-0.24,1088.0487738657507,1098.2720509356304,1102.6534553941501,1127.481413992429,1153.769840743548
24936,-0.85,-0.12,0.24,956.7201674527689,972.1719063618311,968.3089716345655,995.3495147254243,1009.5136087253981
24956,-0.85,0.12,0.12,871.0491059241191,882.7725124641477,883.9448531181505,908.5640068522104,921.4597540462418
24976,-0.85,0.0,0.18,889.7605130838301,899.3278304288176,898.1319157606941,932.8134411362736,938.7930144768907
24996,-0.85,-0.06,-0.06,853.9785064273268,864.3227951996631,867.7708914571086,902.2518540315633,907.9986811273058
25016,-0.79,-0.12,0.12,934.63877648942,947.2180332389411,953.5076616137017,971.1186210630312,988.7295805123608
25036,-0.79,0.0,0.12,1010.68938430159,1032.4832254725138,1032.4832254725138,1054.2770666434376,1070.6224475216304
25056,-0.79,0.0,0.12,800.7567090435166,808.3212123678144,814.8050723600694,828.8534356766224,848.305015653388
25076,-0.85,-0.06,0.12,883.0801279149038,892.6398586636443,897.4197240380146,914.1492528483104,936.8536133765691
25096,-0.85,-0.06,0.06,863.9154130137161,870.9106795158515,879.0718237683428,897.725867774037,917.5457895300872
25116,-0.85,-0.06,0.12,870.4037769252159,879.8008487408728,890.3725545334867,911.5159661187147,922.0876719113286
25136,-0.85,0.0,0.12,994.9290072361655,1004.3151299459406,1012.3603779828907,1039.1778714393913,1051.2457434948165
25156,-0.85,0.0,0.12,983.3242364796499,997.8431178236447,1001.8028127356432,1022.9211855996358,1037.4400669436307
25176,-0.85,0.0,0.12,765.5239577644111,774.8469829604594,781.0623330911583,802.8160585486044,815.246758810002
25196,-0.85,-0.06,0.06,951.05423769872,961.2943909983026,967.6944868105415,990.734831734602,1003.5350233590801
25216,-0.85,-0.06,0.18,949.871831307296,956.2812228815694,969.1000060301159,994.7375723272088,997.3013289569182
25236,-0.85,0.0,0.18,1004.9207494085017,1026.590199530518,1025.2358588978918,1050.968330917786,1063.1573966114204
25256,-0.85,0.0,0.06,1032.5137248026322,1049.167171976868,1047.7793847123485,1071.3717682091826,1085.2496408543793
25276,-0.85,-0.06,0.12,1050.7284365897044,1067.7213493108318,1067.7213493108318,1096.0428705127106,1105.9554029333683
25296,-0.85,-0.06,0.06,845.8082792878238,862.8838165547381,857.1919707991,882.2360921239076,894.7581527863116
25316,-0.85,-0.06,0.18,979.0562537084619,980.3704231765269,988.2554399849172,1009.282151473958,1032.937201899129
25336,-0.79,0.0,0.12,966.7480377024511,983.6401405117682,977.1431778928002,1008.3285984638469,1016.1249536066086
25356,-0.85,0.0,0.06,1062.2387655945233,1072.2329475288802,1083.6548697395742,1097.9322725029413,1117.9206363716555
25376,-0.79,-0.06,0.12,751.0331879785281,765.2036254875569,762.1671031641936,780.3862371043735,792.5323263978268
